graph,instance,algorithm,requests,robots,capacity,demand,num_instance,isBigTW,cost,time,distance,used_vehicles,used_max,used_min,used_mean,computational_time
mountain,6HR_6Q_50RQT_3q_4,MILP,50,6,6,3,4,False,880.0,997.0,860.0,2.0,628.0,232.0,430.0,1.47
mountain,6HR_6Q_50RQT_3q_4,Heuristic,50,6,6,3,4,False,880.0,993.0,860.0,2.0,628.0,232.0,430.0,0.14615702629089355
mountain,6HR_6Q_100RQT_3q_2,MILP,100,6,6,3,2,False,1580.0,1863.0,1560.0,2.0,852.0,708.0,780.0,3.16
mountain,6HR_6Q_100RQT_3q_2,Heuristic,100,6,6,3,2,False,1578.0,1863.0,1558.0,2.0,1052.0,506.0,779.0,0.4909040927886963
mountain,6HR_6Q_100RQT_3q_5,MILP,100,6,6,3,5,False,1690.0,1951.0,1670.0,2.0,916.0,754.0,835.0,3.26
mountain,6HR_6Q_100RQT_3q_5,Heuristic,100,6,6,3,5,False,1670.0,1947.0,1650.0,2.0,856.0,794.0,825.0,0.47315287590026855
mountain,9HR_6Q_50RQT_3q_bigTW_0,MILP,50,9,6,3,0,True,804.0,939.0,794.0,1.0,794.0,794.0,794.0,1.87
mountain,9HR_6Q_50RQT_3q_bigTW_0,Heuristic,50,9,6,3,0,True,794.0,939.0,784.0,1.0,784.0,784.0,784.0,0.22235321998596191
mountain,9HR_6Q_50RQT_2q_bigTW_0,MILP,50,9,6,2,0,True,800.0,939.0,790.0,1.0,790.0,790.0,790.0,2.3
mountain,9HR_6Q_50RQT_2q_bigTW_0,Heuristic,50,9,6,2,0,True,798.0,939.0,788.0,1.0,788.0,788.0,788.0,0.2253408432006836
mountain,9HR_6Q_50RQT_2q_bigTW_7,MILP,50,9,6,2,7,True,898.0,1053.0,888.0,1.0,888.0,888.0,888.0,7.91
